Date,Tweet
2022-01-04 12:30:42+00:00,nesa! apa yg seng kamu pikirkan tentang iki https://t.co/s9jy73wMPa
2022-01-04 11:43:11+00:00,#NAME?
2022-01-04 11:16:19+00:00,budget max 1jt bisa dapet kos ac gak ya deket kampus ketintang? nesa!
2022-01-04 10:43:44+00:00,nesa! kos daerah ketintang yg ac itu sekitar brp ya perbulannya?
2022-01-04 10:40:28+00:00,nesa! mau tanya poo d4 itu ada kkn ga ya
2022-01-04 10:40:06+00:00,"cuk mbak iki bien sek jaman aku ngevent di liga mahasiswa doi kapten tim futsal putri unesa hahaha maine keren emang dulu. kaget pas baca berita doi pemain persebaya putri beberapa tahun lalu, sekarang kaget lagi ternyata dah jadi pelatih berlisensi. kwereeeennnnn https://t.co/pOE3retShw"
2022-01-04 08:59:12+00:00,"nesa! Pengajuan cuti itu gimana ya? Terus unggah jadwal kuliah dan RPS itu ngapain? Aku maba jadi kurang, TIA https://t.co/SOgdAFjwmv"
2022-01-04 06:14:06+00:00,nesa! ada info potongan UKT buat mahasiswa akhir yg tinggal skripsi?
2022-01-04 05:36:33+00:00,#NAME?
2022-01-04 05:06:42+00:00,#NAME?
2022-01-04 03:30:01+00:00,"untuk snm, lebih baik yg mana?

pil1 ilkom unair
pil2 ilkom unesa

atau

pil1 ilkom unair
pil2 sosiologi unair

rata""ku 86,4, ada sertifikat, kakak kelasku yg keterima snmptn 45 orang tahun kemarin. terimakasiii ptn!"
2022-01-04 02:46:19+00:00,"#BeritaUNESA
Webinar S3 Ilmu Keolahragaan #UNESA Guna Menyongsong Generasi Emas 2045

selengkapnya di
https://t.co/u2a1HgtKz5"
2022-01-03 21:05:20+00:00,"*Jurusan Manajemen FEB Unesa Latih BUMDes di Kedungdowo Jombang*

https://t.co/51x00drdnK"
2022-01-03 20:37:31+00:00,"*Tim PKM JA FEB Unesa Berikan Literasi Keuangan Digital bagi Pelaku Usaha Home Industri*

https://t.co/vAkc521AWp"
2022-01-03 19:40:50+00:00,"*S2 Pendidikan Geografi Unesa Gelar Pelatihan Pengembangan Pembelajaran Risiko Multi Bencana*

https://t.co/xvSXZWSAIy"
2022-01-03 19:16:55+00:00,"*PKM Jurusan Akuntansi Unesa Beri Pelatihan Pengelolaan Keuangan bagi Pelaku UMKM*

https://t.co/ypRexWxA7w"
2022-01-03 19:09:01+00:00,"*Tingkatkan Pasar UMKM Batik Lemah Putro Sidoarjo, FEB Unesa Gelar Pelatihan Desain Website*

https://t.co/oaY2nHwNGC"
2022-01-03 19:03:01+00:00,"*Prodi S3 TP Unesa Latih Guru Menulis Artikel Jurnal Nasional Terakreditasi di Nganjuk*

https://t.co/XJn2Xcye3S"
2022-01-03 19:00:26+00:00,"*Tim PKM IE FEB Unesa Edukasi Akad Usaha dan Bagi Hasil Lewat Prinsip Syariah di Pamekasan*

https://t.co/M2yI2CEShv"
2022-01-03 18:57:15+00:00,"*Tim PKM MP Unesa Latih Kompetensi E-Learning Guru SD Darul Ilmi dengan EDMODO*

https://t.co/uRniHUFZDk"
2022-01-03 18:29:35+00:00,"*Dosen Prodi Ekonomi Unesa Lakukan Literasi Keuangan Digital Sebagai Upaya UMKM Go Digital*

https://t.co/63ssPrTHc8"
