jorong,-3
pergabungan,-3
uang pecah,-4
desas-desus,-5
prahara,-3
memantapkan,-3
batuk darah,-4
tempelak,-5
dursila,-5
rebet,-5
menghinap-hinap,-3
pertunjukan perasaan,-3
rebeh,-5
hirap,-3
semau,-3
mendaulat,-5
terhempas,-5
hancur lebur,-5
rumit,-5
disimilaritas,-4
entak,-3
tradisional,-5
tersengut-sengut,-5
meriang,-4
sungkan,-4
angin lalu,-5
bersendikan,-4
nama buruk,-5
dongkol,-4
mengarah,-4
mengonarkan,-4
dalal,-3
rompak,-5
tunduk,-5
banyak omong,-4
someng,-4
mencibirkan,-5
menongkrongi,-3
kuat,-3
mutlak,-3
pemain,-3
menyelang,-5
eroton,-4
endemi,-5
lapuk,-5
rabak,-3
terderita,-4
mengharamkan,-3
pekikan,-5
pengunjukan,-3
kebangunan,-5
perapian,-4
hujat,-5
dengki,-5
jangkang,-5
sumpal,-3
lembeng,-4
kesalahan,-5
imam,-3
sembrono,-5
berjejas,-5
menghalai-balaikan,-4
cikun,-5
bundel,-5
surut,-4
urit,-3
bloon,-3
kubra,-5
hujah,-4
longgok,-3
cempek,-4
khair,-4
tonjok,-5
gering hulu,-4
anut,-3
berkejaran,-3
pering,-3
pengejawantahan,-3
berkasih-kasihan,-3
mencecah,-3
mempersoalkan,-4
merenungkan,-3
perbincangan,-3
tergemap,-3
penyodok,-3
mendindingi,-5
buncit,-3
kerakal,-3
lancang,-5
enggan,-5
mencengkeram,-4
tertinggal,-3
laten,-5
luluh lantak,-5
penodong,-5
sogokan,-4
fiskal,-3
bertekak,-4
perlahan-lahan,-4
onyak-anyik,-4
merembet,-4
fungsionaris,-3
perkembangan,-4
dugal,-5
recehan,-4
dobel,-3
kecemasan,-4
celemotan,-4
tanur,-4
sombong,-3
faktor,-4
persuasi,-3
welas,-3
mangau,-4
ulung,-4
seraga,-3
berterima,-3
aspiran,-5
terhunjam,-3
friksi,-5
pematang,-4
lenyap,-5
api-api,-4
gidik,-4
mesut,-4
sanggit,-3
terseret,-3
mesum,-5
sukatan,-5
golak,-5
keheningan,-4
tengking,-5
aspek,-3
amblas,-3
memomokkan,-5
fundamental,-4
abuk,-3
gunduk,-3
beta,-3
kemplang,-5
abur,-5
selap,-3
tembelang,-5
berumah tangga,-4
jebeh,-5
menikmati,-3
membabi buta,-4
menahun,-5
primer,-4
menggeligi,-4
pembangkang,-4
fulanah,-3
menyetubuhi,-3
layon,-4
baginda,-3
mengesak,-3
berhimpun,-4
membelot,-5
kilah,-4
terang akal,-4
keperihan,-5
serobot,-3
mengesan,-3
mengelakkan,-4
kerepotan,-3
tersekat,-5
mengebumikan,-3
duli,-3
menghebat,-4
melayang,-3
menyelakkan,-5
buta,-3
memfitnah,-4
nala,-3
sekop,-3
incit,-4
batung-batung,-4
gesek,-3
rongkol,-5
bertinju,-4
bersengketa,-4
keasingan,-4
sekurang-kurangnya,-3
bertahan,-4
melekat,-4
khawatir,-5
ruang,-3
kisikan,-3
menghadiahi,-3
terajang,-3
memegang,-4
masai,-4
merenyam,-3
patgulipat,-5
terali,-4
rad,-3
ijab,-4
meluluhlantakkan,-4
saja,-3
pemberontakan,-4
mengenjak,-3
beranda,-3
perus,-5
